Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 
GCA_018150695.1	ASM1815069v1	Drosophila oshimai	181013079	Contig	2021-04-28							
GCA_026182355.1	ASM2618235v1	Hermatobates lingyangjiaoensis	912184758	Contig	2022-11-15							
GCA_963930915.1	Forcipomyia taiwana genome 2.0	Forcipomyia taiwana	130434311	Scaffold	2024-02-07	113						
GCA_035044365.1	ASM3504436v1	Drosophila neotestacea	161337394	Contig	2024-01-03							
GCA_018904305.1	ASM1890430v1	Scaptomyza montana	229076798	Contig	2021-06-16							
GCA_035046045.1	ASM3504604v1	Zaprionus bogoriensis	160681420	Contig	2024-01-03							
GCA_018906775.1	ASM1890677v1	Sycophila sp. Sp_5	288587316	Contig	2021-06-16							
GCA_035042165.1	ASM3504216v1	Drosophila kuntzei	171842688	Contig	2024-01-03							
GCA_018903425.1	ASM1890342v1	Zaprionus nigranus	175473336	Scaffold	2021-06-16	291						
GCA_022606575.1	ASM2260657v1	Glossosoma conforme	568236337	Scaffold	2022-03-17	655						
GCA_009617725.1	HT1_wtdbg2_racon_pilon	Hydropsyche tenuis	229663394	Contig	2019-11-07							
GCA_028555115.1	ASM2855511v1	Himalopsyche japonica	546840812	Scaffold	2023-02-08	847						
GCA_035578135.1	UIUC_Fleat_1.0	Flexamia atlantica	1326920946	Scaffold	2024-01-11	563						
GCA_035045885.1	ASM3504588v1	Drosophila borealis	214703831	Contig	2024-01-03							
GCA_035043795.1	ASM3504379v1	Drosophila pullipes	134422799	Contig	2024-01-03							
GCA_035043265.1	ASM3504326v1	Drosophila testacea	164006772	Contig	2024-01-03							
GCA_035044165.1	ASM3504416v1	Drosophila nr. perissopoda 1 BK-2023a	141321204	Contig	2024-01-03							
GCA_037893425.1	MNHN_Campsp_1	Campoplex nolae	214231030	Contig	2024-04-01							
GCA_037043625.1	ASM3704362v1	Drosophila melanocephala	145337310	Scaffold	2024-03-06	758						
GCA_035043035.1	ASM3504303v1	Drosophila yooni	136222105	Contig	2024-01-03							
GCA_018904275.1	ASM1890427v1	Lordiphosa clarofinis	398719931	Scaffold	2021-06-16	1149						
GCA_037043315.1	ASM3704331v1	Amiota communis	309733540	Contig	2024-03-06							
GCA_035042425.1	ASM3504242v1	Drosophila flavopinicola	172425878	Contig	2024-01-03							
GCA_035041765.1	ASM3504176v1	Drosophila algonquin	169371931	Contig	2024-01-03							
GCA_037179445.1	Palcon_assembly_V1	Phengaris alcon alcon	590352233	Contig	2024-03-15							
GCA_037075165.1	ASM3707516v1	Hirtodrosophila histrioides	204146783	Scaffold	2024-03-08	844						
GCA_037043295.1	ASM3704329v1	Amiota minor	263864417	Scaffold	2024-03-06	2805						
GCA_035043665.1	ASM3504366v1	Drosophila quasianomalipes	160037880	Contig	2024-01-03							
GCA_035044505.1	ASM3504450v1	Zaprionus lineosus	150172149	Contig	2024-01-03							
GCA_029955175.1	MPICE_EAD1	Exocentrus adspersus	257536703	Contig	2023-05-08							
GCA_035044805.1	ASM3504480v1	Leucophenga maculata	354843564	Contig	2024-01-03							
GCA_907163055.1	Faqxpol	Formica aquilonia x Formica polyctena	272015305	Contig	2021-05-15							
GCA_035578325.1	UIUC_Coesp_1.0	Coelinius sp. EB29	149677641	Scaffold	2024-01-11	47						
GCA_014737535.1	ASM1473753v1	Bombus cullumanus	246986414	Scaffold	2020-09-25	5480						
GCA_035044585.1	ASM3504458v1	Scaptomyza polygonia	202555330	Contig	2024-01-03							
GCA_029963805.1	MPICE_AMO_1	Aromia moschata	687741594	Contig	2023-05-10							
GCA_017933935.1	SNONA2	Sesamia nonagrioides	1021251398	Scaffold	2021-04-15	2553						
GCA_018906965.1	ASM1890696v1	Philotrypesis tridentata	398606688	Contig	2021-06-16							
GCA_022651775.1	ASM2265177v1	Drusus annulatus	727941535	Contig	2022-03-21							
GCA_022495005.1	ASM2249500v1	Rhyacophila brunnea	1086872238	Scaffold	2022-03-07	2125						
GCA_022606425.2	ASM2260642v2	Lepidostoma basale	769194182	Scaffold	2022-03-21	1621						
GCA_035042245.1	ASM3504224v1	Drosophila heteroneura	138224102	Contig	2024-01-03							
GCA_030620095.1	CSIRO_AGI_Kmac_V1	Kuschelorhynchus macadamiae	2040830314	Contig	2023-08-03							
GCA_014737385.1	ASM1473738v1	Bombus superbus	230139620	Scaffold	2020-09-24	1458						
GCA_029618875.2	ASM2961887v2	Dynastes tityus	708717259	Scaffold	2024-01-04	171						
GCA_035044725.1	ASM3504472v1	Scaptomyza caliginosa	115378636	Contig	2024-01-03							
GCA_036937485.1	ASM3693748v1	Tetragonisca angustula	283989661	Scaffold	2024-03-01	704						
GCA_037075285.1	ASM3707528v1	Drosophila lutescens	186162880	Scaffold	2024-03-08	1269						
GCA_035044965.1	ASM3504496v1	Lordiphosa andalusiaca	256791629	Contig	2024-01-03							
GCA_009617715.1	P_conspersa_v1	Plectrocnemia conspersa	396695105	Contig	2019-11-07							
GCA_035045005.1	ASM3504500v1	Liodrosophila aerea	158261153	Contig	2024-01-03							
GCA_035044765.1	ASM3504476v1	Leucophenga montana	402053479	Contig	2024-01-03							
GCA_038994665.1	Ptel.assembly.v1.2	Podotricha telesiphe	316371940	Scaffold	2024-05-01	873						
GCA_001932985.1	200kmer_750.trimmed	Proctacanthus coquilletti	208907727	Scaffold	2017-01-04	14695						
GCA_037075185.1	ASM3707518v1	Drosophila pseudotalamancana	132610343	Scaffold	2024-03-08	1244						
GCA_035220615.1	lace_v1.0	Leptothorax acervorum	344696344	Contig	2024-01-08							
GCA_029041755.1	Resmax_1	Resseliella maxima	206036186	Contig	2023-03-08							
GCA_014737455.1	ASM1473745v1	Bombus consobrinus	249068899	Scaffold	2020-09-25	7194						
GCA_037159825.1	Tnot_Tucson_v1	Tupiocoris notatus	291738946	Contig	2024-03-14							
GCA_035043045.1	ASM3504304v1	Hirtodrosophila alboralis	179589121	Contig	2024-01-03							
GCA_029963845.1	MPICE_RBIC_1	Rhamnusium bicolor	1141596284	Contig	2023-05-10							
GCA_018904225.1	ASM1890422v1	Lordiphosa mommai	339463949	Contig	2021-06-16							
GCA_030848795.1	tnyl_v1.0	Temnothorax nylanderi	313490928	Contig	2023-08-22							
GCA_035046425.1	ASM3504642v1	Drosophila anomalata	173871845	Contig	2024-01-03							
GCA_030770215.1	tame_v2.0	Temnothorax americanus	277741648	Contig	2023-08-17							
GCA_014737365.1	ASM1473736v1	Bombus soroeensis	243573539	Scaffold	2020-09-24	5476						
GCA_030704885.1	ASM3070488v1	Cynegetis impunctata	795998395	Contig	2023-08-09							
GCA_014737505.1	ASM1473750v1	Bombus sibiricus	262420024	Scaffold	2020-09-25	14183						
GCA_018903435.1	ASM1890343v1	Leucophenga varia	303593356	Contig	2021-06-16							
GCA_902806795.1	TRIGBR_hybrid	Trichogramma brassicae	235386796	Contig	2020-02-28							
GCA_037043435.1	ASM3704343v1	Drosophila suboccidentalis	183326998	Scaffold	2024-03-06	2804						
GCA_037075205.1	ASM3707520v1	Drosophila prostipennis	194383693	Scaffold	2024-03-08	8158						
GCA_035044485.1	ASM3504448v1	Scaptomyza reducta	150710186	Contig	2024-01-03							
GCA_014737355.1	ASM1473735v1	Bombus skorikovi	242038170	Scaffold	2020-09-24	3042						
GCA_032362365.1	CCMB_ZBic_1.2	Zygogramma bicolorata	935913224	Scaffold	2023-10-04	6106						
GCA_014737335.1	ASM1473733v1	Bombus polaris	245790074	Scaffold	2020-09-24	5848						
GCA_035045125.1	ASM3504512v1	Hypselothyrea guttata	182534479	Contig	2024-01-03							
GCA_014737475.1	ASM1473747v1	Bombus confusus	239101172	Scaffold	2020-09-25	4639						
GCA_030770355.1	hsub_v1.0	Harpagoxenus sublaevis	341523168	Contig	2023-08-17							
GCA_014737485.1	ASM1473748v1	Bombus picipes	253987937	Scaffold	2020-09-25	7282						
GCA_035044985.1	ASM3504498v1	Lordiphosa fenestrarum	292201992	Contig	2024-01-03							
GCA_031893035.1	CSIRO_AGI_Dalb_v1	Dermolepida albohirtum	886221198	Contig	2023-09-25							
GCA_030770225.1	tuni_v1.0	Temnothorax unifasciatus	314503407	Contig	2023-08-17							
GCA_008042475.1	UCB_Dkan_1.0	Drosophila kanapiae	152203088	Scaffold	2019-08-21	3638						
GCA_018904265.1	ASM1890426v1	Lordiphosa collinella	375096912	Contig	2021-06-16							
GCA_014737525.1	ASM1473752v1	Bombus difficillimus	243560081	Scaffold	2020-09-25	4473						
GCA_030710515.1	AcBM8_1.0	Abscondita cerata	967161661	Contig	2023-08-11							
GCA_037044535.1	ASM3704453v1	Lordiphosa magnipectinata	493136452	Scaffold	2024-03-06	4696						
GCA_037044495.1	ASM3704449v1	Stegana nigrithorax	187915485	Scaffold	2024-03-06	5725						
GCA_900245975.1	DGUA_6	Drosophila guanche	140632981	Scaffold	2018-09-20	13506						
GCF_900245975.1	DGUA_6	Drosophila guanche	140632981	Scaffold	2018-09-20	13506	0.9960426	0.9917808	0.004261796	0.0012176561	0.002739726	diptera_odb10
GCA_902439185.1	CINCED3	Cinara cedri	396042769	Scaffold	2019-09-18	2842						
GCA_027563435.1	ASM2756343v1	Nasonovia ribisnigri	411614453	Contig	2023-01-03							
GCA_901521435.1	Clev_1.0	Crematogaster levior	326199551	Scaffold	2019-07-16	1523						
GCA_024449915.1	ASM2444991v1	Sweltsa coloradensis	1471778160	Contig	2022-07-26							
GCA_913698485.1	Pfluc4	Proechinophthirus fluctus	1251895	Contig	2021-09-13							
GCA_913698275.1	Choog2	Columbicola hoogstraali	1357829	Contig	2021-09-13							
GCA_037043405.1	ASM3704340v1	Drosophila subquinaria	194543196	Scaffold	2024-03-06	3301						
GCA_037044455.1	ASM3704445v1	Zygothrica quintamaculata	157382294	Scaffold	2024-03-06	2856						
GCA_037044515.1	ASM3704451v1	Phortica magna	147792232	Scaffold	2024-03-06	3373						
GCA_020341155.1	Ebur_v1.0	Eciton burchellii	192453053	Scaffold	2021-10-07	449						
GCA_030523045.1	LBBE_Mcinctellus_V1	Meteorus cinctellus	134084016	Scaffold	2023-07-24	21270						
GCA_018340805.1	IGFL_Mlon_1.0	Microvelia longipes	669260052	Scaffold	2021-05-11	1935						
GCA_029619325.2	ASM2961932v2	Dynastes grantii	678736045	Scaffold	2024-01-04	290						
GCA_011426435.1	ASM1142643v1	Lysiphlebus fabarum	140705580	Contig	2020-03-18							
GCA_030523085.1	LBBE_Mcolon_M_V1	Meteorus colon	132022006	Scaffold	2023-07-24	20721						
GCA_037043745.1	ASM3704374v1	Chymomyza amoena	392904267	Scaffold	2024-03-06	4860						
GCA_018257835.1	ELAP_v2.0	Euura lappo	259850817	Scaffold	2021-05-04	2503						
GCA_011170035.1	Tocci_1.0	Teleogryllus occipitalis	1933831998	Scaffold	2020-02-21	19865						
GCA_018344505.1	ASM1834450v1	Nebria ingens riversi	147399399	Scaffold	2021-05-12	1636						
GCA_034509805.1	ASM3450980v1	Sipha maydis	409544601	Contig	2023-12-21							
GCA_022494885.1	ASM2249488v1	Micrasema longulum	585244695	Scaffold	2022-03-07	5451						
GCA_021223825.1	ASM2122382v1	Drosophila ironensis	144278514	Scaffold	2021-12-17	13598						
GCA_003268045.1	YSA_version1	Sipha flava	353179758	Scaffold	2018-06-26	1923						
GCF_003268045.1	YSA_version1	Sipha flava	353179758	Scaffold	2018-06-26	1923	0.9669323	0.9557769	0.011155378	0.0023904382	0.03067729	hemiptera_odb10
GCA_900005825.1	CLUMA_1.0	Clunio marinus	85491412	Scaffold	2016-11-28	23763						
GCA_902654985.2	Oryctes_borbonicus_mpgtue_10X	Oryctes borbonicus	428246057	Scaffold	2020-01-21	9526						
GCA_001014335.1	ASM101433v1	Coboldia fuscipes	98759061	Scaffold	2015-05-28	1732						
GCA_004143845.1	ASM414384v1	Drosophila lacertosa	154130906	Scaffold	2019-02-06	21840						
GCA_029963825.1	MPICE_MMI_1	Molorchus minor	364691463	Contig	2023-05-10							
GCA_008042485.1	UCB_Dmay_1.0	Drosophila mayri	167807061	Scaffold	2019-08-21	10414						
GCA_030770255.1	mrav_v1.0	Temnothorax ravouxi	362408415	Contig	2023-08-17							
GCA_022606495.2	ASM2260649v2	Halesus radiatus	973340998	Scaffold	2022-03-21	12485						
GCA_037043495.1	ASM3704349v1	Drosophila recens	220825137	Scaffold	2024-03-06	4641						
GCA_030522525.1	LBBE_Campo_V1	Campopleginae sp. 14b	172982430	Scaffold	2023-07-24	14130						
GCA_014170235.1	ASM1417023v1	Listronotus bonariensis	1112438712	Scaffold	2020-08-12	22156						
GCA_037952995.1	Hdid_v2	Hyposoter didymator	198742708	Scaffold	2024-04-03	2319						
GCA_030523145.1	LBBE_Tbrochymenae_V1	Trissolcus brochymenae	156604017	Scaffold	2023-07-24	42246						
GCA_030142575.1	ASM3014257v1	Phylloecus linearis	146137528	Scaffold	2023-05-31	6038						
GCA_030142375.1	ASM3014237v1	Calameuta pallipes	161203645	Scaffold	2023-05-31	15158						
GCA_016648135.1	BYU_agryp_1.0	Agrypnia vestita	1353059149	Scaffold	2021-01-15	25153						
GCA_008042515.1	UCB_Dtru_1.0	Drosophila truncata	167897087	Scaffold	2019-08-21	8217						
GCA_902655005.2	Marronus_mpgtue_10X	Marronus borbonicus	441465824	Scaffold	2020-01-21	9046						
GCA_022376115.1	LBAL_v1.0	Lasioglossum baleicum	303257060	Scaffold	2022-02-23	7244						
GCA_025469195.1	ASM2546919v1	Chaitophorus viminalis	411837257	Scaffold	2022-09-28	170214						
GCA_008042775.1	UCB_Dpec_1.0	Drosophila pectinifera	149209000	Scaffold	2019-08-21	5286						
GCA_003671415.1	mvi_v1	Megathymus violae	429427782	Scaffold	2018-10-22	1515						
GCA_027575565.1	ASM2757556v1	Diploeciton nevermanni	110461855	Scaffold	2023-01-06	27438						
GCA_021223865.1	ASM2122386v1	Drosophila pandora	181393585	Scaffold	2021-12-17	24227						
GCA_037355905.1	ASM3735590v1	Heliconius aoede	242554817	Scaffold	2024-03-19	3120						
GCA_027475445.1	ASM2747544v1	Ricinus arcuatus	154834975	Scaffold	2022-12-28	10659						
GCA_023678845.1	ASM2367884v1	Mischocyttarus mexicanus	227225662	Scaffold	2022-06-08	8333						
GCA_900474305.1	Cfun	Cecidostiba fungosa	185537488	Scaffold	2018-06-30	14999						
GCA_018904235.1	ASM1890423v1	Lordiphosa stackelbergi	307819360	Contig	2021-06-16							
GCA_022606485.1	ASM2260648v1	Agraylea sexmaculata	196055257	Scaffold	2022-03-17	7052						
GCA_030142635.1	ASM3014263v1	Trachelus troglodyta	159030453	Scaffold	2023-05-31	7255						
GCA_008042675.1	UCB_Dseg_1.0	Drosophila seguyi	178856532	Scaffold	2019-08-21	10855						
GCA_949711725.1	LrealiF	Leptidea reali	670139173	Scaffold	2023-04-09	16210						
GCA_029619255.2	ASM2961925v2	Dynastes hyllus	621808898	Scaffold	2024-01-04	528						
GCA_949711755.1	LjuvernicaM	Leptidea juvernica	659569169	Scaffold	2023-04-09	16073						
GCA_008042795.1	UCB_Dasa_1.0	Drosophila asahinai	189050820	Scaffold	2019-08-21	14021						
GCA_030142515.1	ASM3014251v1	Cephus sareptanus	160780393	Scaffold	2023-05-31	8196						
GCA_013841185.1	ASM1384118v1	Hycleus phaleratus	90869815	Scaffold	2020-07-28	12877						
GCA_033557855.1	ASM3355785v1	Hydrochus callosus	20909604	Contig	2023-11-13							
GCA_021460005.1	UI_Talp.v1.0	Tetramorium alpestre	245724784	Scaffold	2022-01-13	2227						
GCA_913698395.1	Gdoso1	Graphium doson	1420758	Contig	2021-09-13							
GCA_008042715.1	UCB_Dboc_1.0	Drosophila bocki	151202254	Scaffold	2019-08-21	8838						
GCA_037356405.1	ASM3735640v1	Nasonia oneida	267721760	Scaffold	2024-03-19	4674						
GCA_013761285.1	ASM1376128v1	Campoletis sonorensis	256042896	Scaffold	2020-07-27	11011						
GCA_008042585.1	UCB_Dpun_1.0	Drosophila punjabiensis	192339030	Scaffold	2019-08-21	12961						
GCA_022494985.1	ASM2249498v1	Micrasema minimum	329257313	Contig	2022-03-07							
GCA_021224005.1	ASM2122400v1	Drosophila setifemur	155894680	Scaffold	2021-12-17	11180						
GCA_008044355.1	UCB_Dlac_1.0	Drosophila lacteicornis	182681050	Scaffold	2019-08-21	14351						
GCA_031762395.1	ASM3176239v1	Calameuta pygmaea	153266913	Scaffold	2023-09-20	9366						
GCA_031763695.1	ASM3176369v1	Calameuta filum	153266913	Scaffold	2023-09-20	9366						
GCA_028565995.1	ASM2856599v1	Ricinus marginatus	159005221	Scaffold	2023-02-09	15083						
GCA_014851325.1	Penig_v1	Pentalonia nigronervosa	375222927	Scaffold	2020-10-05	18328						
GCA_014332785.1	AM_v1.0	Antheraea mylitta	698407906	Scaffold	2020-08-28	16774						
GCA_030522925.1	LBBE_Tjaponicus_V1	Trissolcus japonicus	164479814	Scaffold	2023-07-24	51224						
GCA_033558755.1	ASM3355875v1	Philaethria dido	393615655	Scaffold	2023-11-13	6926						
GCA_030142455.1	ASM3014245v1	Cephus pulcher	161216331	Scaffold	2023-05-31	9045						
GCA_030142495.1	ASM3014249v1	Cephus runcator	156660759	Scaffold	2023-05-31	6848						
GCA_920937365.1	SPRU_Genome	Sphaerophoria rueppellii	537631316	Scaffold	2021-12-05	8476						
GCA_037157785.1	ASM3715778v1	Cephalotes varians	291692201	Scaffold	2024-03-14	3506						
GCA_023678865.1	ASM2367886v1	Polistes exclamans	221395666	Scaffold	2022-06-08	7498						
GCA_030264185.1	ASM3026418v1	Cephus rjabovi	170654323	Scaffold	2023-06-13	20352						
GCA_008042535.1	UCB_Dtan_1.0	Drosophila tani	180972673	Scaffold	2019-08-21	13368						
GCA_900474275.1	Synjap	Synergus japonicus	226414463	Scaffold	2018-06-30	12796						
GCA_024363005.1	ASM2436300v1	Charaxes varanes	470132697	Scaffold	2022-07-21	50420						
GCA_010416905.1	CU_Pdor_10	Polistes dorsalis	209288276	Scaffold	2020-02-11	5129						
GCA_037044475.1	ASM3704447v1	Zaprionus obscuricornis	164023502	Scaffold	2024-03-06	7326						
GCA_019359885.1	ASM1935988v1	Listronotus oregonensis	1293280834	Scaffold	2021-07-27	41689						
GCA_905319865.3	Cotesia_congregata_Chromosomal_scale_assembly	Cotesia congregata	199191156	Scaffold	2021-08-03	1978						
GCA_029255725.1	ASM2925572v1	Scrobipalpa atriplicella	301108171	Contig	2023-03-17							
GCA_011634705.1	ASM1163470v1	Andricus grossulariae	1412754889	Scaffold	2020-03-23	229755						
GCA_003261595.1	MB_VBL1.0	Maconellicoccus hirsutus	189239095	Contig	2018-06-25							
GCA_004143825.1	ASM414382v1	Drosophila micromelanica	156838486	Scaffold	2019-02-06	30879						
GCA_033557835.1	ASM3355783v1	Helochares maculicollis	25686487	Contig	2023-11-13							
GCA_008042615.1	UCB_Daur_1.0	Drosophila auraria	197420731	Scaffold	2019-08-21	15783						
GCA_029619165.1	ASM2961916v1	Eurosta solidaginis	1443056660	Scaffold	2023-04-07	49048						
GCA_030142555.1	ASM3014255v1	Phylloecus xanthostoma	145437537	Scaffold	2023-05-31	6288						
GCA_900474325.1	Sumb	Synergus umbraculus	235334141	Scaffold	2018-06-30	20256						
GCA_035582975.1	ASM3558297v1	Ormyrus labotus	271766883	Scaffold	2024-01-11	25127						
GCA_002006095.1	ASM200609v1	Pseudomyrmex gracilis	282776121	Scaffold	2017-02-23	6556						
GCF_002006095.1	ASM200609v1	Pseudomyrmex gracilis	282776121	Scaffold	2017-02-23	6556	0.98380905	0.9793023	0.0045067603	0.0056751794	0.010515774	hymenoptera_odb10
GCA_035047165.1	ASM3504716v1	Ormyrus rosae	286775089	Scaffold	2024-01-03	40062						
GCA_003055095.1	ASM305509v1	Goniozus legneri	140141882	Scaffold	2018-04-17	7855						
GCA_021307375.1	tetraneura_10X_genome_133	Tetraneura akinire	343116958	Scaffold	2021-12-28	10720						
GCA_017140195.1	ASM1714019v1	Eumaeus atala	538113891	Scaffold	2021-03-02	12781						
GCA_014825475.1	ASM1482547v1	Pseudomyrmex flavicornis	198472643	Scaffold	2020-09-30	19545						
GCA_025469175.1	ASM2546917v1	Geopemphigus sp. TES_GeoC_2020	244380868	Scaffold	2022-09-28	35406						
GCA_017607545.1	ASM1760754v1	Acromyrmex charruanus	296539234	Scaffold	2021-03-29	6883						
GCA_900480045.1	Eadl	Eurytoma adleriae	314665288	Scaffold	2018-12-05	215946						
GCA_902151445.1	3S_Tms_b3v08	Timema monikensis	1098921974	Scaffold	2019-07-03	189023						
GCA_025469235.1	ASM2546923v1	Pemphigus obesinymphae	657710021	Scaffold	2022-09-28	126996						
GCA_913698435.1	Pante1	Pseudomimeciton antennatum	1472610	Contig	2021-09-13							
GCA_014825685.1	ASM1482568v1	Pseudomyrmex cubaensis	204624832	Scaffold	2020-09-30	24805						
GCA_036026175.1	ASM3602617v1	Cephus pygmeus	217704620	Scaffold	2024-01-25	226981						
GCA_902155825.1	5S_Tge_b3v08	Timema genevievae	1049658498	Scaffold	2019-07-08	155957						
GCA_039654385.1	ASM3965438v1	Cataglyphis altisquamis	314520798	Scaffold	2024-05-16	268056						
GCA_008042575.1	UCB_Dwat_1.0	Drosophila watanabei	196825890	Scaffold	2019-08-21	18615						
GCA_033557685.1	ASM3355768v1	Sperchopsis tessellata	22621776	Contig	2023-11-13							
GCA_030142395.1	ASM3014239v1	Cephus nigrinus	164165349	Scaffold	2023-05-31	18030						
GCA_008042655.1	UCB_Dbur_1.0	Drosophila burlai	175666184	Scaffold	2019-08-21	19702						
GCA_011009095.1	Ilumi1.2	Ignelater luminosus	842898625	Scaffold	2020-02-25	91322						
GCA_037414755.1	ASM3741475v1	Lydus trimaculatus	114123051	Scaffold	2024-03-20	8865						
GCA_030523105.1	LBBE_Ophi_A_V1	Ophioninae sp. A BG-2022a	236186530	Scaffold	2023-07-24	49947						
GCA_018881525.1	ASM1888152v1	Meteorus sp. PSUC_FEM 10030008	123143622	Scaffold	2021-06-14	13824						
GCA_900474385.1	Opom	Ormyrus pomaceus	266814119	Scaffold	2018-06-30	72854						
GCA_011636585.1	Timm.v1.0	Tetramorium immigrans	227078691	Scaffold	2020-03-23	18306						
GCA_013421005.1	ASM1342100v1	Heliconius erato x Heliconius himera	587825014	Scaffold	2020-07-16	38668						
GCA_904066015.1	P7705_102_v2	Synergus gifuensis	276059795	Scaffold	2020-09-02	18504						
GCA_008042635.1	UCB_Dnik_1.0	Drosophila nikananu	190505469	Scaffold	2019-08-21	20890						
GCA_900480025.1	Eann	Eupelmus annulatus	314961079	Scaffold	2018-07-01	48063						
GCA_030264675.1	Caltech_Anig_1.0	Anaulacaspis nigra	107510753	Scaffold	2023-06-13	12593						
GCA_902151465.1	4S_Tte_b3v08	Timema tahoe	1093399193	Scaffold	2019-07-03	179075						
GCA_036026315.1	ASM3602631v1	Trachelus stipa	233351881	Scaffold	2024-01-25	278461						
GCA_030556065.1	Caltech_Hol_1.0	Holobus sp. GC000080	115993713	Scaffold	2023-07-31	8844						
GCA_030264555.1	Caltech_Ale_1.0	Aleochara sp. GC000083	152715001	Scaffold	2023-06-13	11085						
GCA_902732785.1	TRIGEV_GD011_Illumina	Trichogramma evanescens	213671129	Scaffold	2020-02-04	146286						
GCA_014825495.1	ASM1482549v1	Pseudomyrmex sp. PSW-54	194520232	Scaffold	2020-09-30	21833						
GCA_932195095.1	P14912_101_v2	Andricus curvator	1666410088	Scaffold	2022-03-05	61955						
GCA_001586405.1	3314_assembly_v1	Phoebis sennae	287490372	Scaffold	2016-03-10	3484						
GCA_904066005.1	P7705_101_v2	Synergus itoensis	266041981	Scaffold	2020-09-02	26122						
GCA_018904815.1	ASM1890481v1	Drosophila ogumai	134345277	Scaffold	2021-06-16	20005						
GCA_902151425.1	2S_Tsi_b3v08	Timema shepardi	1153163518	Scaffold	2019-07-03	316480						
GCA_035583055.1	ASM3558305v1	Torymus tubicola	430040592	Scaffold	2024-01-11	52591						
GCA_932178445.1	P14912_102_v2	Andricus quercusramuli	1626963434	Scaffold	2022-03-29	87091						
GCA_901482245.1	1S_Tdi_b3v08	Timema douglasi	1123070144	Scaffold	2019-06-02	317771						
GCA_030522605.1	LBBE_CremaB_V1	Cremastinae sp. B BG-2022a	207096258	Scaffold	2023-07-24	81251						
GCA_008042735.1	UCB_Dleo_1.0	Drosophila leontia	164601511	Scaffold	2019-08-21	18487						
GCA_913698445.1	Earac4	Ecitomorpha arachnoides	1350066	Contig	2021-09-13							
GCA_033557675.1	ASM3355767v1	Coptodactyla brooksi	18227780	Contig	2023-11-13							
GCA_030522545.1	LBBE_CremaA_V1	Cremastinae sp. A BG-2022a	240822094	Scaffold	2023-07-24	95490						
GCA_900060175.1	FVIR	Ferrisia virgata	304570832	Scaffold	2016-03-27	32723						
GCA_037043555.1	ASM3704355v1	Drosophila neoperkinsi	133869088	Scaffold	2024-03-06	10455						
GCA_003063835.1	AZXXR	Aphaenogaster floridana	382861007	Scaffold	2018-04-23	6427						
GCA_018420115.1	EuSal_v.1	Euura saliciscinereae	222200365	Scaffold	2021-05-20	16945						
GCA_900474335.1	Onit	Ormyrus nitidulus	259885974	Scaffold	2018-06-30	37093						
GCA_030142315.1	ASM3014231v1	Cephus brachycercus	157305561	Scaffold	2023-05-31	8960						
GCA_018904565.1	ASM1890456v1	Drosophila tsacasi	144985661	Scaffold	2021-06-16	20270						
GCA_913698115.1	Ofont3	Omalisus fontisbellaquei	1529137	Contig	2021-09-13							
GCA_031001745.1	ASM3100174v1	Hartigia nigra	146599139	Scaffold	2023-08-30	7458						
GCA_019453375.1	ASM1945337v1	Ctenoplectra terminalis	410320436	Scaffold	2021-08-05	26312						
GCA_027574925.1	ASM2757492v1	Ecitoglossa quadriceps	123413133	Scaffold	2023-01-06	50020						
GCA_014825455.1	ASM1482545v1	Pseudomyrmex pallidus	200367487	Scaffold	2020-09-30	28260						
GCA_910591685.1	Galerucella tenella genome assembly	Galerucella tenella	460592984	Scaffold	2021-07-07	29202						
GCA_003063805.1	AZXXQ	Aphaenogaster ashmeadi	310333780	Scaffold	2018-04-23	5089						
GCA_037464855.1	ASM3746485v1	Iselma pallidipennis	107303586	Scaffold	2024-03-20	4652						
GCA_902151455.1	4S_Tbi_b3v08	Timema bartmani	1108645000	Scaffold	2019-07-03	333758						
GCA_913698145.1	Ssp4	Sericostoma sp. HW-2014	1231013	Contig	2021-09-13							
GCA_003063725.1	AZXXO	Aphaenogaster miamiana	342642954	Scaffold	2018-04-23	6922						
GCA_011636635.1	Tsim.v1.0	Tetramorium simillimum	232155731	Scaffold	2020-03-23	23892						
GCA_026745375.1	ASM2674537v1	Platyura marginata	205115294	Scaffold	2022-12-08	24922						
GCA_014825645.1	ASM1482564v1	Pseudomyrmex dendroicus	206595161	Scaffold	2020-09-30	27828						
GCA_037075105.1	ASM3707510v1	Lissocephala sabroskyi	140423778	Scaffold	2024-03-08	76102						
GCA_002245505.1	Cne_v1	Calephelis nemesis	808524533	Scaffold	2017-08-10	40359						
GCA_008817895.1	ASM881789v1	Anopheles fontenillei	232626592	Scaffold	2019-10-03	69188						
GCA_010645165.1	Tetragonula_davenporti_1.1	Tetragonula davenporti	284611473	Contig	2020-02-14							
GCA_910591675.1	Galerucella calmariensis genome assembly	Galerucella calmariensis	588272243	Scaffold	2021-07-07	39255						
GCA_018230265.1	SRR4341246	Delias oraia	241176567	Contig	2021-05-03							
GCA_038406275.1	ASM3840627v1	Cataglyphis albicans	292836608	Scaffold	2024-04-22	242913						
